"KNOW","GEND","ETHN","ORG","TEAM","EXP","EXPSH","GNRL","GEO","number","OUT","raw consist.","PRI consist.","SYM consist"
0,1,1,1,1,1,1,0,1,6,0,0.81115,0.531301,0.531299
0,1,1,0,1,0,1,0,1,7,0,0.788832,0.531119,0.531117
1,1,0,0,0,0,1,0,0,2,0,0.821341,0.526148,0.526142
0,1,1,1,0,1,0,0,1,5,0,0.803316,0.524042,0.524042
0,1,1,0,1,0,0,1,0,2,0,0.825079,0.522138,0.52214
0,1,1,0,1,0,0,1,1,3,0,0.797008,0.521931,0.521931
1,0,0,1,1,1,0,0,1,7,0,0.777902,0.520036,0.521335
1,0,1,1,1,1,1,1,0,15,0,0.78315,0.519148,0.523577
1,1,0,1,0,1,0,1,1,5,0,0.818291,0.518157,0.525797
1,0,1,1,0,1,0,0,0,3,0,0.807406,0.517562,0.517559
1,1,1,1,1,0,1,0,0,7,0,0.779233,0.517066,0.517065
1,0,1,0,1,1,0,0,1,11,0,0.782537,0.514825,0.52043
1,0,1,1,1,1,0,0,1,3,0,0.809902,0.511716,0.513484
1,1,0,1,0,1,1,1,0,4,0,0.825857,0.510762,0.510763
1,1,1,1,0,1,0,1,1,6,0,0.800038,0.508864,0.510984
1,0,1,1,1,1,1,0,0,8,0,0.787815,0.506936,0.510689
0,1,1,0,0,1,1,0,0,3,0,0.819754,0.504184,0.504335
0,1,1,1,0,0,0,0,0,3,0,0.824484,0.503421,0.50342
0,0,1,1,0,1,1,1,0,7,0,0.794394,0.503085,0.504535
1,0,0,0,1,1,0,0,1,13,0,0.755296,0.502722,0.50534
1,1,1,1,0,0,0,1,0,2,0,0.826262,0.501051,0.501049
0,1,0,0,1,0,0,1,0,2,0,0.787856,0.500958,0.500957
1,0,1,0,1,0,0,0,0,10,0,0.750807,0.500706,0.500709
1,1,1,0,0,0,0,0,1,3,0,0.79969,0.500318,0.500318
0,1,0,0,1,0,0,1,1,2,0,0.786272,0.498937,0.501741
0,1,1,1,0,0,0,0,1,2,0,0.802838,0.498806,0.498805
0,1,0,0,1,0,1,0,1,22,0,0.739045,0.494876,0.494877
0,1,0,0,0,0,0,0,1,45,0,0.686569,0.494847,0.517045
0,1,1,0,0,1,0,0,1,5,0,0.79085,0.492396,0.492399
1,1,1,1,0,1,0,0,1,2,0,0.805026,0.49203,0.49203
1,0,1,0,1,0,0,0,1,13,0,0.736561,0.491528,0.493254
1,0,1,0,1,1,0,1,1,5,0,0.772535,0.490673,0.490671
1,1,0,1,0,1,0,1,0,4,0,0.80276,0.489592,0.502487
0,1,1,0,1,0,1,1,1,2,0,0.80736,0.488054,0.488054
0,0,0,1,0,1,0,0,1,29,0,0.714487,0.486675,0.489516
1,0,0,1,0,1,0,0,1,22,0,0.723233,0.485441,0.489301
0,0,1,1,0,1,0,1,0,4,0,0.779709,0.484464,0.492454
1,0,0,1,1,0,0,0,1,4,0,0.760886,0.481885,0.481886
1,0,1,1,1,1,1,0,1,15,0,0.775223,0.481323,0.488669
0,1,0,0,0,0,1,0,1,12,0,0.765025,0.480706,0.485659
0,1,0,1,0,1,1,1,1,5,0,0.80534,0.479995,0.479999
1,1,0,1,0,0,0,1,1,8,0,0.772342,0.478123,0.479371
0,1,1,0,0,0,1,0,1,17,0,0.76081,0.477194,0.482052
1,0,1,1,0,1,1,1,0,9,0,0.787952,0.476128,0.476127
1,0,0,0,1,0,0,0,1,23,0,0.701682,0.475895,0.480736
0,1,0,0,0,1,1,0,0,4,0,0.799601,0.472373,0.472373
1,0,0,0,1,1,1,0,1,8,0,0.766958,0.471093,0.472958
0,1,1,0,0,0,0,0,1,22,0,0.730449,0.46986,0.476082
0,1,0,1,0,1,1,1,0,2,0,0.809934,0.469512,0.471399
0,0,1,1,0,1,1,0,1,22,0,0.746915,0.468614,0.474928
1,1,1,1,0,0,0,1,1,4,0,0.787535,0.466031,0.46603
0,0,0,1,0,1,1,0,1,92,0,0.668024,0.465263,0.477223
1,1,0,1,0,0,0,1,0,2,0,0.790959,0.465129,0.465125
0,1,1,0,1,0,1,0,0,6,0,0.776056,0.464711,0.464712
1,0,0,1,1,1,1,1,0,8,0,0.785684,0.463966,0.465736
1,0,1,0,0,1,0,0,0,2,0,0.795246,0.463598,0.463596
0,0,0,1,0,1,0,0,0,25,0,0.710054,0.463185,0.468924
1,0,1,0,0,0,0,0,0,3,0,0.778518,0.462278,0.462278
1,0,1,0,1,0,0,1,1,25,0,0.703572,0.462018,0.471366
1,0,1,1,1,0,0,0,1,2,0,0.795208,0.461969,0.461973
1,0,1,1,0,1,0,0,1,5,0,0.774746,0.460521,0.46052
1,0,1,1,0,1,1,0,1,2,0,0.810388,0.460199,0.461172
1,0,0,1,0,1,1,0,1,13,0,0.784326,0.459127,0.459752
0,0,0,0,0,0,1,1,0,5,0,0.745076,0.458532,0.45853
0,0,1,1,0,1,0,0,0,4,0,0.788205,0.457542,0.460494
0,1,0,0,0,0,1,0,0,5,0,0.780989,0.45716,0.45716
1,0,1,0,1,1,1,0,1,8,0,0.758925,0.456106,0.456105
0,1,1,0,0,1,0,1,1,2,0,0.791867,0.455417,0.455417
1,0,0,0,1,1,0,0,0,2,0,0.746834,0.454445,0.454445
1,1,1,0,0,0,0,1,1,2,0,0.781485,0.451277,0.451277
0,1,0,1,0,0,0,1,1,3,0,0.761376,0.450504,0.450502
0,1,0,0,0,0,0,1,1,10,0,0.723458,0.44971,0.460115
0,1,0,1,0,0,0,1,0,2,0,0.771168,0.449087,0.449085
1,0,1,0,1,1,1,0,0,2,0,0.787564,0.449051,0.449051
0,1,0,0,1,0,1,1,1,4,0,0.786372,0.448271,0.448272
0,0,1,1,0,1,0,0,1,10,0,0.740193,0.447202,0.451588
1,0,0,1,0,1,1,0,0,6,0,0.76841,0.445795,0.445795
0,0,0,1,0,0,1,1,0,7,0,0.745963,0.44499,0.444987
0,0,0,1,0,1,1,0,0,69,0,0.666937,0.443796,0.463189
1,0,0,0,0,0,1,1,0,2,0,0.772727,0.443533,0.443529
1,0,0,0,1,1,1,0,0,4,0,0.767782,0.443032,0.443033
1,0,1,1,1,1,0,1,0,17,0,0.7193,0.442742,0.445657
0,1,1,0,0,0,1,0,0,2,0,0.788915,0.441428,0.441427
1,0,0,1,1,1,0,1,0,7,0,0.7345,0.441257,0.441257
1,0,1,1,1,0,0,1,1,6,0,0.732856,0.440582,0.440583
0,1,1,1,0,0,1,1,1,2,0,0.790105,0.438704,0.438703
0,1,1,1,0,0,1,0,0,3,0,0.803226,0.436525,0.436524
0,1,1,0,0,0,1,1,1,6,0,0.775446,0.436427,0.436426
1,0,1,1,1,0,0,1,0,11,0,0.735606,0.435225,0.436634
1,1,1,1,0,1,1,1,1,5,0,0.794467,0.434814,0.434815
1,0,1,0,1,1,1,1,1,4,0,0.751143,0.434316,0.434314
1,0,1,1,0,1,0,1,0,19,0,0.711945,0.432583,0.432584
1,0,1,1,1,0,1,1,1,3,0,0.762323,0.428637,0.428636
1,0,1,1,1,1,1,1,1,11,0,0.754272,0.428483,0.429437
1,0,1,0,1,0,1,0,1,5,0,0.755015,0.428077,0.43193
1,0,0,0,1,0,0,0,0,17,0,0.679652,0.427915,0.436447
0,0,1,0,1,0,0,0,1,12,0,0.707243,0.427579,0.434587
0,1,1,1,0,1,1,0,1,16,0,0.764177,0.427229,0.43904
