"KNOW","GEND","ETHN","ORG","TEAM","EXP","EXPSH","GNRL","GEO","OUT"
0.686864738,0.04882796,0.04941561,0.123571694,0.186605497,0.050318824,0.049858773,0.998158918,0.986233971,0.002138952
0.000666064,0.995145058,0.04941561,0.010187919,0.186605497,0.040667416,0.733200948,0.000256887,0,0.203886128
0.204130906,0.04882796,0.992182964,0.036697002,0.186605497,0.114508598,0.507360566,0.210357157,0.991664975,0.00125919
0.358754331,0.04882796,0.04941561,0.123571694,0.011930458,0.282889204,0.049858773,0.232359868,0.992561628,0.001335385
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0,0.292166745
0.108038035,0.04882796,0.04941561,0.123571694,0.011930458,0.068935855,0.049858773,0.02333089,0.997237569,0.009812486
0.000457966,0.985045072,0.04941561,0.007366108,0.813394503,0.026417967,0.049858773,0.000232031,0.976391621,0
0.89136671,0.04882796,0.04941561,0.342900789,0.186605497,0.168070283,0.124006993,0.701338182,0.997237569,0
0.037700224,0.04882796,0.04941561,0.123571694,0.011930458,0.068935855,0.049858773,0.78481475,0.997237569,0.002461702
0.000457966,0.998039114,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.997237569,0.013226326
0.006792322,0.04882796,0.04941561,0.50049074,0.011930458,0.093760803,0.507360566,0.283171618,0.834810024,0.000102318
0.328252329,0.04882796,0.950535193,0.019417107,0.813394503,0.093760803,0.049858773,0.00487051,0.00945874,0.000108665
0.077636364,0.04882796,0.04941561,0.950093158,0.011930458,0.719367873,0.507360566,0.007621247,0.995952807,0.000304136
0.936265822,0.04882796,0.950535193,0.727790773,0.813394503,0.696311886,0.879997206,0.121573448,0.997237569,0.000144127
0.291408323,0.985045072,0.950535193,0.920974525,0.813394503,0.036532291,0.049858773,0.235716132,0.243192142,0
0.061762798,0.995145058,0.992182964,0.010187919,0.186605497,0.050318824,0.124006993,0.06888357,0.997237569,0
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0,0
0.022976952,0.04882796,0.999819238,0.50049074,0.011930458,0.512266034,0.049858773,0.05332327,0.231598414,0.023447864
0.418955707,0.04882796,0.04941561,0.010187919,0.999364903,0.029443228,0.049858773,0.997896722,0.010570836,0.469415429
0.539677503,0.04882796,0.04941561,0.50049074,0.011930458,0.126312799,0.049858773,0.97774114,0.996739572,0.065744479
1,0.04882796,0.992182964,0.990329316,1,0.48256032,0.049858773,0.983621855,0.997237569,0
0.559818732,0.04882796,0.992182964,0.123571694,0.186605497,0.168070283,0.049858773,0.048938875,0.995678827,0.012792943
0.01326739,0.998039114,0.04941561,0.727790773,0.011930458,0.068935855,0.049858773,0.00344603,0.997237569,0
0.000457966,0.04882796,0.999819238,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.995499491,0
0.007619655,0.04882796,0.04941561,0.50049074,0.011930458,0.068935855,0.507360566,0.095054545,0.996117859,0
0.000457966,0.995145058,0.992182964,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0.063191247,0
0.434564196,0.04882796,0.992182964,0.036697002,0.186605497,0.490520935,0.049858773,0.015644766,0.973724937,0.514694878
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.032803255,0.507360566,0.002366189,0.475147333,0.024061645
0.000457966,0.995145058,0.04941561,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0.994178241,0
0.584441998,0.04882796,0.04941561,0.342900789,0.186605497,0.062112455,0.049858773,0.069817732,0.997237569,0
0.000457966,0.04882796,0.04941561,0.002773267,0.011930458,0.026417967,0.049858773,0.000232031,0.971823136,0.050617081
0.000457966,0.995145058,0.992182964,0.010187919,0.186605497,0.026417967,0.049858773,0.000232031,0.457247935,0
0.014878417,0.04882796,0.04941561,0.123571694,0.011930458,0.168070283,0.507360566,0.155972562,0.997237569,0.066478041
0.026434579,0.995145058,0.992182964,0.010187919,0.186605497,0.040667416,0.049858773,0.005297226,0.367409451,0.006969096
0.000457966,0.04882796,0.04941561,0.019417107,0.011930458,0.026417967,0.049858773,0.000232031,0.992782343,0.000817699
0.017518367,0.04882796,0.04941561,0.123571694,0.011930458,0.355355638,0.049858773,0.313393146,0.991774571,0.006506196
0.383250367,0.04882796,0.999819238,0.980694701,0.011930458,0.126312799,0.049858773,0.993689459,0.839495599,0
0.000457966,0.04882796,0.999819238,0.998965002,0.011930458,0.036532291,0.507360566,0.00619465,0.997237569,0
0.930910128,0.995145058,0.992182964,0.581545936,0.186605497,0.734130797,0.049858773,0.254818797,0.995051554,0.00188108
0.000457966,0.04882796,0.04941561,0.010187919,0.186605497,0.040667416,0.951380221,0.002366189,0.466492268,0.155957814
0.000457966,0.04882796,0.04941561,0.002773267,0.011930458,0.026417967,0.049858773,0.000232031,0.230585289,0.0137703
0.178074499,0.995145058,0.04941561,0.036697002,0.186605497,0.114508598,0.049858773,0.358938915,0.993584484,0.113325354
0.130444577,0.886901167,0.629218712,0.008465447,1,0.031807143,0.049858773,0.497429862,0.960691738,0.204628346
0.000457966,0.04882796,0.999819238,0.002773267,0.011930458,0.026417967,0.049858773,0.000232031,0.997237569,0
0.01351365,0.04882796,0.04941561,0.123571694,0.011930458,0.050318824,0.507360566,0.97710264,0.997237569,0.004310922
0.259612174,0.04882796,0.04941561,0.123571694,0.011930458,0.168070283,0.049858773,0.048074614,0.495384407,0.528040685
